"Subject","Session","Measure","Explanation"
"T005","RestingBaseline","HR","Filtered out whole session signal"
"T009","RestingBaseline","HR","Filtered out whole session signal"
"T126","RestingBaseline","HR","Filtered out whole session signal"
"T130","RestingBaseline","HR","Filtered out whole session signal"
"T005","BaselineWriting","HR","Filtered out whole session signal"
"T009","BaselineWriting","HR","Filtered out whole session signal"
"T126","BaselineWriting","HR","Filtered out whole session signal"
"T130","BaselineWriting","HR","Filtered out whole session signal"
"T005","StressCondition","HR","Filtered out whole session signal"
"T009","StressCondition","HR","Filtered out whole session signal"
"T126","StressCondition","HR","Filtered out whole session signal"
"T130","StressCondition","HR","Filtered out whole session signal"
"T005","DualTask","HR","Filtered out whole session signal"
"T009","DualTask","HR","Filtered out whole session signal"
"T126","DualTask","HR","Filtered out whole session signal"
"T130","DualTask","HR","Filtered out whole session signal"
"T005","Presentation","HR","Filtered out whole session signal"
"T009","Presentation","HR","Filtered out whole session signal"
"T126","Presentation","HR","Filtered out whole session signal"
"T128","Presentation","HR","Filtered out whole session signal"
"T130","Presentation","HR","Filtered out whole session signal"
"T009","Presentation","D.HR","Filtered out whole session signal"
"T061","RestingBaseline","N.EDA","Filtered out whole session signal"
"T064","RestingBaseline","N.EDA","Filtered out whole session signal"
"T066","RestingBaseline","N.EDA","Filtered out whole session signal"
"T065","BaselineWriting","N.EDA","Filtered out whole session signal"
"T066","BaselineWriting","N.EDA","Filtered out whole session signal"
"T066","StressCondition","N.EDA","Filtered out whole session signal"
"T068","StressCondition","N.EDA","Filtered out whole session signal"
"T061","DualTask","N.EDA","Filtered out whole session signal"
"T064","DualTask","N.EDA","Filtered out whole session signal"
"T065","DualTask","N.EDA","Filtered out whole session signal"
"T066","DualTask","N.EDA","Filtered out whole session signal"
"T066","Presentation","N.EDA","Filtered out whole session signal"
"T065","BaselineWriting","N.HR","Filtered out whole session signal"
"T068","Presentation","N.HR","Filtered out whole session signal"
"T031","Presentation","PP","Filtered out whole session signal"
"T162","RestingBaseline","HR","Filtered out whole session signal"
"T162","BaselineWriting","HR","Filtered out whole session signal"
"T162","StressCondition","HR","Filtered out whole session signal"
"T162","DualTask","HR","Filtered out whole session signal"
"T031","DualTask","HR","Filtered out whole session signal"
"T154","Presentation","HR","Filtered out whole session signal"
"T157","Presentation","HR","Filtered out whole session signal"
"T162","Presentation","HR","Filtered out whole session signal"
"T035","RestingBaseline","BR","Filtered out whole session signal"
"T032","BaselineWriting","BR","Filtered out whole session signal"
"T032","StressCondition","BR","Filtered out whole session signal"
"T032","Presentation","BR","Filtered out whole session signal"
"T091","Presentation","BR","Filtered out whole session signal"
"T092","RestingBaseline","N.EDA","Filtered out whole session signal"
"T096","RestingBaseline","N.EDA","Filtered out whole session signal"
"T098","RestingBaseline","N.EDA","Filtered out whole session signal"
"T099","RestingBaseline","N.EDA","Filtered out whole session signal"
"T092","BaselineWriting","N.EDA","Filtered out whole session signal"
"T096","BaselineWriting","N.EDA","Filtered out whole session signal"
"T098","BaselineWriting","N.EDA","Filtered out whole session signal"
"T092","StressCondition","N.EDA","Filtered out whole session signal"
"T096","StressCondition","N.EDA","Filtered out whole session signal"
"T098","StressCondition","N.EDA","Filtered out whole session signal"
"T091","DualTask","N.EDA","Filtered out whole session signal"
"T092","DualTask","N.EDA","Filtered out whole session signal"
"T094","DualTask","N.EDA","Filtered out whole session signal"
"T098","DualTask","N.EDA","Filtered out whole session signal"
"T099","DualTask","N.EDA","Filtered out whole session signal"
"T092","Presentation","N.EDA","Filtered out whole session signal"
"T096","Presentation","N.EDA","Filtered out whole session signal"
"T098","Presentation","N.EDA","Filtered out whole session signal"
"T032","RestingBaseline","N.HR","Filtered out whole session signal"
"T091","DualTask","N.HR","Filtered out whole session signal"
"T094","DualTask","N.HR","Filtered out whole session signal"
"T078","DualTask","BR","Filtered out whole session signal"
"T144","DualTask","BR","Filtered out whole session signal"
"T016","DualTask","D.EDA","Filtered out whole session signal"
"T016","Presentation","D.EDA","Filtered out whole session signal"
"T079","RestingBaseline","N.EDA","Filtered out whole session signal"
"T083","RestingBaseline","N.EDA","Filtered out whole session signal"
"T085","RestingBaseline","N.EDA","Filtered out whole session signal"
"T079","BaselineWriting","N.EDA","Filtered out whole session signal"
"T083","BaselineWriting","N.EDA","Filtered out whole session signal"
"T084","BaselineWriting","N.EDA","Filtered out whole session signal"
"T085","BaselineWriting","N.EDA","Filtered out whole session signal"
"T078","StressCondition","N.EDA","Filtered out whole session signal"
"T083","StressCondition","N.EDA","Filtered out whole session signal"
"T084","StressCondition","N.EDA","Filtered out whole session signal"
"T077","DualTask","N.EDA","Filtered out whole session signal"
"T079","DualTask","N.EDA","Filtered out whole session signal"
"T083","DualTask","N.EDA","Filtered out whole session signal"
"T084","DualTask","N.EDA","Filtered out whole session signal"
"T085","DualTask","N.EDA","Filtered out whole session signal"
"T084","Presentation","N.EDA","Filtered out whole session signal"
"T019","StressCondition","N.HR","Filtered out whole session signal"
"T113","StressCondition","PP","Filtered out whole session signal"
"T178","RestingBaseline","HR","Filtered out whole session signal"
"T178","BaselineWriting","HR","Filtered out whole session signal"
"T178","StressCondition","HR","Filtered out whole session signal"
"T178","DualTask","HR","Filtered out whole session signal"
"T178","Presentation","HR","Filtered out whole session signal"
"T047","DualTask","BR","Filtered out whole session signal"
"T051","DualTask","BR","Filtered out whole session signal"
"T113","DualTask","BR","Filtered out whole session signal"
"T176","DualTask","BR","Filtered out whole session signal"
"T047","Presentation","BR","Filtered out whole session signal"
"T113","RestingBaseline","N.EDA","Filtered out whole session signal"
"T113","BaselineWriting","N.EDA","Filtered out whole session signal"
"T113","StressCondition","N.EDA","Filtered out whole session signal"
"T106","DualTask","N.EDA","Filtered out whole session signal"
"T112","DualTask","N.EDA","Filtered out whole session signal"
"T113","DualTask","N.EDA","Filtered out whole session signal"
"T106","Presentation","N.EDA","Filtered out whole session signal"
"T113","Presentation","N.EDA","Filtered out whole session signal"
"T047","StressCondition","N.HR","Filtered out whole session signal"
