"Signal","Session","QC1","QC2"
"PP","Presentation",1,NA
"PP","StressCondition",1,NA
"BR","BaselineWriting",1,NA
"BR","DualTask",6,NA
"BR","Presentation",3,NA
"BR","RestingBaseline",1,NA
"BR","StressCondition",1,NA
"N.EDA","BaselineWriting",10,2
"N.EDA","DualTask",17,2
"N.EDA","Presentation",7,NA
"N.EDA","RestingBaseline",11,NA
"N.EDA","StressCondition",9,1
"HR","BaselineWriting",6,NA
"HR","DualTask",7,NA
"HR","Presentation",9,NA
"HR","RestingBaseline",6,NA
"HR","StressCondition",6,NA
"N.HR","BaselineWriting",1,1
"N.HR","DualTask",2,4
"N.HR","Presentation",1,7
"N.HR","RestingBaseline",1,4
"N.HR","StressCondition",2,5
