"Signal","Session","QC1"
"PP","Presentation",1
"PP","StressCondition",1
"BR","BaselineWriting",1
"BR","DualTask",6
"BR","Presentation",3
"BR","RestingBaseline",1
"BR","StressCondition",1
"N.EDA","BaselineWriting",10
"N.EDA","DualTask",17
"N.EDA","Presentation",7
"N.EDA","RestingBaseline",11
"N.EDA","StressCondition",9
"HR","BaselineWriting",6
"HR","DualTask",7
"HR","Presentation",9
"HR","RestingBaseline",6
"HR","StressCondition",6
"N.HR","BaselineWriting",1
"N.HR","DualTask",2
"N.HR","Presentation",1
"N.HR","RestingBaseline",1
"N.HR","StressCondition",2
